,deck_code,region_1,region_2,champion_1,champion_2,champion_3,champion_4,matches_played
0,CIBQIAIDAQMB6IIFAEAQWFQ6EYYACAQBAIBACAIDDIBQCAIEFIZAEAIBAM2QCAQBA4,Noxus,Freljord,Ashe,Sejuani,None,None,9325
1,CIBAIAIEDMSC2NAHAIDAQCY2DQQS2OQBAIBAMFBLAIAQCBA7AIBAMBJR,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,7006
2,CIBQCAQGCYDQCAABBELB2JRHFMBAEAAJBIBQCAQGBABACAAVDIAQEAAHAEBACAALGM,Bilgewater,Demacia,Miss Fortune,Lucian,None,None,4853
3,CIBQGAQGBALDUBYBAAAQSGQ5E4VTGAYCAADASCQAAEAQCABJ,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,4456
4,CIBAGAIDCQTTOCIBAQAQYHBGE4UC2NBWAIAQCAZDAEBAIAQA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,2940
5,CIBAKAIBBMLB4JRQAUAQGBAYDIPSCAYCAEBTGNICAEAQIKQBAIAQEAA,Freljord,Noxus,Ashe,Sejuani,None,None,2878
6,CIBQGAIBAMLCEBIBAUPCQMBRGUBAEBIEAYBQCAQBA4BQCBIHBMMQCAQFAEAA,Freljord,Shadow Isles,Kalista,Elise,None,None,2742
7,CIBQCAIFFABAEBIIBIDAEBQ5E4WC6NJYAMBAEBRFGYBQCBIZDU3ACAQFA4AQCAQGDY,Shadow Isles,Bilgewater,Maokai,Nautilus,None,None,2497
8,CICAKAIEDMPSIMJUAEBAIBQDAEBQILRXAQBAGAIHBAEQAAIBAEBRM,Piltover & Zaun,Noxus,Ezreal,Swain,None,None,2493
9,CIBAGAIDAQPSCBYBAEBQOCYWEYUTAAYBAEBTKAYBAECB4KQBAIAQEAA,Noxus,Freljord,Ashe,Sejuani,None,None,2352
10,CIBQKAIFCQUCWMJUAUAQABQPDIQSUAQCAAAQSAIBAECQCAQBAECSCAICAACQ,Shadow Isles,Demacia,Thresh,Lux,None,None,1950
11,CIBQKAIBAMERIGBSAYAQKAIDDUUCWMIBAIAQOAICAECQ6FAA,Freljord,Shadow Isles,Braum,Anivia,None,None,1602
12,CIBQGAIBAMLCEBIBAUPCQMBRGUBQEBIBAQDAEAIBAUDQCAQBA4AQGAIFBMMSW,Freljord,Shadow Isles,Kalista,Elise,None,None,1546
13,CIBQEAIFDUUACAQFBICQEBQ5E4XTKOADAIBAMJJMAIAQKGJWAIBAKBYIAIBQCBJLFY2ACAQFAM,Shadow Isles,Bilgewater,Nautilus,Maokai,Thresh,None,1390
14,CIBAIAIEDMSCWNAIAIDAQCY2DQQS2MJ2AIAQCBA7AEBAMFAA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,1349
15,CICAIAICBAHS4OAEAEBSILRWG4AQEAQFAEBAGCICAEAQGKQDAEBAWJJRAEBACAYKCM,Ionia,Noxus,Yasuo,Katarina,None,None,1341
16,CIBQKAQGBALCMOJ2AYAQGAQPDYSSQLYCAIBQGBAAAEAQEBQR,Bilgewater,Noxus,Miss Fortune,None,None,None,1129
17,CIBQGAQGE4XTQAYBAUUC4NQDAICQOCAKAIAQCBJPAMBAMBJFGUBACAQGDYCACBIBB4MTI,Bilgewater,Shadow Isles,Maokai,Nautilus,Thresh,None,981
18,CIBQCAIBCYBAEAICA4FAEBQFBAFRIFIWDQQTUPQAAEAQEBQR,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,949
19,CIBAIAIEDMPSINAEAIBACAYFBEBQGAICAIUS4AQBAQATUAICAQDAGAIBAI4AEAIEE4VQCAQEBA,Piltover & Zaun,Ionia,Ezreal,Karma,Vi,None,946
20,CICAGAIDAQKC4AICAMEQQAIEAENR6JBHGE2DUAICAQDAAAIBAEBTO,Noxus,Piltover & Zaun,Draven,Ezreal,None,None,797
21,CIBQIAIEDMPSINADAEBAEKJZAQBAEAIDAUEQEAIBAQAQEAICAQYQCAIBAQ5A,Piltover & Zaun,Ionia,Ezreal,Karma,None,None,767
22,CICAGAIACULCMAICAAEQKAICAYERCFBMAEBAEBIDAIAQEFRUAEAQAAYCAIAAOCAA,Demacia,Ionia,Lucian,Zed,None,None,744
23,CIBAKAIDA4ERIJZXAYAQIDARDQTCOLICAEAQGIYBAECCQAQBAECAQAQBAMGSK,Noxus,Piltover & Zaun,Draven,Jinx,Teemo,None,710
24,CIBAIAIBBQKBOGAHAECQCDYTDUUDMNYCAEAQCJYCAECSCLYBAEAQKGI,Freljord,Shadow Isles,Anivia,Tryndamere,None,None,710
25,CIBQEAIDCQXACAQDBEEACBABDMPSIJZNGQ5ACAQBAMCBMAYBAEBSGAIBAQYQCAQEAY,Noxus,Piltover & Zaun,Draven,Ezreal,None,None,698
26,CIBAGAIEDMSDIBYCAYEAWGQ4EEWTUAQBAECC2BACAYERIHJRAA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,664
27,CIBQKAIEBAMRWNB2AQAQCBALCYQAEAQBAIFAEAIBAQPQEAQBAUEACAIBAEZA,Piltover & Zaun,Freljord,Teemo,Sejuani,None,None,658
28,CIBAKAIDAQMBUHZBA4AQCBALCYPCMKRQAEAQEAICAEBACAZTGU,Noxus,Freljord,Ashe,Sejuani,None,None,639
29,CIBQIAIFCQVTCNAFAEAAMDY2EEVAEAQAAEEQEAICAABAEAIFAEUACAICAACQ,Shadow Isles,Demacia,Thresh,Lux,None,None,639
30,CIBAEAICCMQAUAIAAEEQWDYVDIOSKKZNAEBACAAHGQAA,Ionia,Demacia,Shen,Fiora,None,None,621
31,CIBQKAQGBALCMLJ2AUAQGAQPDYSSQAQCAMBQIAQBAEBS6AICAYQAA,Bilgewater,Noxus,Miss Fortune,Gangplank,None,None,618
32,CIBQGAIFDUUDMAQCAUEAUBQCAYOSKJZPGU4AGAICAYWACAIFB4AQEBIHAEAQCBIZ,Shadow Isles,Bilgewater,Maokai,Nautilus,None,None,600
33,CIBQKAIDAQMBUHZBAUAQCCYWDYTDAAICAEBAEAIBAEVACAIDGUBQCAIDGMAQCAIBAEBACBY,Noxus,Freljord,Ashe,Sejuani,None,None,595
34,CICAEAIDFY3QCAQDBECACBJIFMYTKAQCAUAQUAQCAEBQIMYEAECQCDZEHAAQCAIDCY,Noxus,Shadow Isles,Elise,None,None,None,564
35,CIBAIAIEDMSC2NAIAIDAQCY2DQQS2MJ2AEBAEBQJCQAA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,548
36,CIBAKAIBBQKBKGBHAYAQKAIPDUUDMNYCAEAQCFYBAECQIAQBAEATIAQBAUMSC,Freljord,Shadow Isles,Anivia,Tryndamere,None,None,513
37,CICAGAICBAHS4AICAICQGAIDEQXDOAQCAMDQSAYCAEBAEJICAEBQINQBAIBQCAQBAIBQGAQBAIYTQ,Ionia,Noxus,Yasuo,Swain,None,None,480
38,CIBAGAICBQVTCCIBAABQSDI2EESSQKRNAIAQCABJAEBAAAIA,Ionia,Demacia,Lux,Fiora,None,None,476
39,CIBQIAQGBEIBUKYHAECACDA4E4UDINYBAICAGAQBAECBUAICAYDQA,Bilgewater,Piltover & Zaun,Twisted Fate,Jinx,None,None,451
40,CIBQCAIBCYBAEAICA4FAEBQFBMKBMHBBFUYTUPQAAEAQEBQR,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,444
41,CIBQCAIBCYBQEAICAYDQOAQGAUEBKFRNHI7ACAYCAYFRIHABAEBAMEQ,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,438
42,CIBQGAIBAMLCEBQBAUPCQKZQGE2QCAQFAQBQCAQBA4BQCBIHBMMQCAQFAEAA,Freljord,Shadow Isles,Kalista,Elise,None,None,438
43,CIBQCAIBCYBAEAICA4FAEBQIBMKBMHBBFUYTUPQAAEAQEBQR,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,433
44,CIBQCAIFAMEACAYCBAHRIHRFFAXQGAQDAMCAKAIBAEBSMAICAEBQWLQ,Shadow Isles,Noxus,Draven,Darius,None,None,422
45,CIBQCAIBEIEACBIOCAPCQKZQGE2QGAQFAECAMAICAECQWGIA,Freljord,Shadow Isles,Kalista,Elise,None,None,406
46,CIBACAIBCYEQCAQCAYEQYEIUFQZDSAYBAIAQOAIBAIKQCAQCAUBACAIBAQBQCARGGE2A,Freljord,Ionia,Zed,None,None,None,397
47,CIBQKAIABIHRUGZWAYAQKGRAFAUTCNQBAICQIAQBAEAAEAIBAUHQA,Demacia,Shadow Isles,None,None,None,None,392
48,CIBQCAIBCYAQEAICBEBAMBIIBMKRMHBBHI7AEAICAEDQEAQGCQWQCAICAYIQ,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,381
49,CICAIAICAIHSKOAEAEBQIJBOGYBAEAQCAUBAEAYHBEBACAICGEAQEAYBAA,Ionia,Noxus,Yasuo,Swain,None,None,374
50,CIBAGAIDAMKCOCQBAQAQYDI4EYTSQLJUG4AACAIBAQNQ,Noxus,Piltover & Zaun,Draven,Jinx,None,None,368
51,CIBAIAIDAMKCONYIAECACDANDQTCOKBNAIAQCBBUAEBAGAYA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,347
52,CIBAIAIFDUUDCNAHAIDAICASEARCMLICAEAQKFABAIDAKAQBAIDBYAQBAUATM,Shadow Isles,Bilgewater,Thresh,Gangplank,None,None,346
53,CIBQIAIEDMPSINADAEBAEKJZAMBAEAYFBEBQEAIEAE5AEAICAQYQCAQCAEAA,Piltover & Zaun,Ionia,Ezreal,Karma,None,None,329
54,CIBQMAIEBAMRWHZUHICACAIDAQQCUAYCAEBAOCQAAEAQCAJS,Piltover & Zaun,Freljord,Teemo,Sejuani,None,None,322
55,CIBQGAIDAITSQAICAMBQMAIEBQOCMJZNGQBAEAIDAMKAGAIEBAISQAA,Noxus,Piltover & Zaun,Draven,Teemo,Jinx,None,321
56,CIBQEAIEBATQSAICAYEQYEIXEYYTEOIBAIBAUAQBAEBDAAIBAQ2AA,Piltover & Zaun,Ionia,Teemo,Zed,None,None,315
57,CIBAEAIDAQQQSAIBAQDQWFQ6EYUTAMQCAEAQGNICAEAQSKQBAEBACAQ,Noxus,Freljord,Ashe,Braum,Sejuani,None,310
58,CICACAIEBAAQEBADA4AQEBQJBQIRIMRZAEBAEBICAQAQEFJMFY2ACAQCBIAA,Piltover & Zaun,Ionia,Teemo,Zed,None,None,309
59,CIBQIAIDCQMSONYHAECACDA4EYTSQLIBAICAGAICAECA2NYA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,300
60,CIBQEAQGBALAMAIAAEERMHJHFMAQEAAKAICACAAVDISSMAQCAAEASAIBAIAAO,Bilgewater,Demacia,Miss Fortune,Lucian,None,None,298
61,CIBQEAIEDM2ACAQEBADACBI5EEUDENJWAMAQCBBQAEBAIBQDAECQCMJYAIAQCBA7AIAQKDYZ,Piltover & Zaun,Shadow Isles,Vi,Elise,None,None,286
62,CIBQCAICFECQCBA3D4SCWNAEAIBACAYFBEBACAIEAECACAQCFYYTQAA,Ionia,Piltover & Zaun,Karma,Ezreal,None,None,285
63,CIBAKAIECANTENBYA4AQAGA2EESSQKRPAEAQEAAHAIAQCBBRAEBAABI,Piltover & Zaun,Demacia,Heimerdinger,Lux,None,None,272
64,CIBAEAQGCANAQAIEAEGBYJZIFU2DOAYBAECCMAICAQBQGAQGA4ESWAA,Bilgewater,Piltover & Zaun,Twisted Fate,Jinx,None,None,266
65,CICACAIEBAAQEBADBIAQEBQJBQIRIFJIFQYTEAICAICQAAIBAEBAE,Piltover & Zaun,Ionia,Teemo,Zed,None,None,264
66,CIBQGAQGCY5D4AYBAAER2KYDAIAAMCIKAMAQEBQIAMAQAFI2GMAQEAAHAIAQEBQFAIAQAJJJ,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,263
67,CIBQIAQGBEIBUKYHAECACDA4E4UDINYBAICAGAICAECBULIA,Bilgewater,Piltover & Zaun,Twisted Fate,Jinx,None,None,259
68,CIBQIAIEBAITINQGAEBQEDY6EUUC6AQCAMBQIAICAECB6JYA,Piltover & Zaun,Noxus,Teemo,None,None,None,258
69,CIBAGAIFB4UDMBQBAEBQYFAYE4UQEAIBAELQIAIFAEJRIHICAEAQCNACAECRSII,Shadow Isles,Freljord,Anivia,Tryndamere,None,None,249
70,CIBAKAIFAMKCQMJUA4AQCAYHBMJB4JRSAEAQCAJKAEBACBIBB4,Shadow Isles,Freljord,Thresh,Ashe,None,None,244
71,CIBQIAIFCQVTCNAFAEAAMDY2EEVAGAQAAEBASAIBAECSQAQBAECQCAICAACQ,Shadow Isles,Demacia,Thresh,Lux,None,None,243
72,CIBQCAIDFYBQEAYHBAEQMAIEDMPSIKZRGQBACAIDFMBQCBA2E45AEAIBAMLACAQDAE,Noxus,Piltover & Zaun,Swain,Ezreal,None,None,239
73,CIBQEAIEBA5AGAICAIZDSBACAIAQGCIKAMAQCBA3AIAQEBBXAIBAEBIGAEBQCAQYFEYQ,Piltover & Zaun,Ionia,Teemo,Lee Sin,Karma,None,239
74,CICAEAIDAQXAIAQDAEDQQCIGAECBWHZEE42DUAICAQAQAAIBAICAM,Noxus,Piltover & Zaun,Swain,Ezreal,None,None,237
75,CIBAGAIEDMSDICACAYEAWGQ4DUQS2OQCAEAQIHYCAIDAIFABAEBAMEQ,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,232
76,CIBAIAIDAQMB6IIFAEAQWFQ6EYYAGAQBAECCUAYBAMNDGNIBAIAQEAIBAIAQO,Noxus,Freljord,Ashe,Sejuani,None,None,225
77,CIBAOAIBAMCASFRFFYZAIAQBAEBAMBYBAMAQCDIUGYAQCAIBAU,Freljord,None,Braum,Sejuani,None,None,220
78,CICAIAIABQHRUMICAIAACCQFAEAQQCIQDE2QEAQBAMDQAAIBAEAQI,Demacia,Freljord,Garen,Braum,None,None,219
79,CIBQGAIBAQERMAICAEDQQAICAIDASFI2FAWDSAICAEBBOMIA,Freljord,Ionia,Braum,Zed,None,None,218
80,CIBQEAQGBALAOAIAAEERUHJFE4VQGAQAAYEQUAQBAEABKAICAADQA,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,216
81,CICAGAIBBEFTEAICAEDQGAIDAQPC4BICAMAQGBYIBEBACAIBA4AQEAYEAA,Freljord,Noxus,Braum,Swain,None,None,214
82,CIBAEAIDCQ3QQAIEAEGBYJZIFU2DMBABAECA2AICAQBQEAIDDETQCAQDAMAA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,210
83,CIBAEAIDEUUAOAQGBAFRUIBBFU5AEAQBAMCB6AQCAYKBYAQCAIDAEEQDAEBRMLZT,Noxus,Bilgewater,Twisted Fate,Gangplank,None,None,208
84,CIBAMAIFBYIB4KBQGEAQEBIGAICQCBIUDEQCEKQCAICQCBABAUAQKAJBEM2DM,Shadow Isles,None,Kalista,Hecarim,Thresh,None,205
85,CIBAQAIFA4HBAHRIFIYTMAICAUDACBQBAUAQGDYUDUVQCAIBAUJQ,Shadow Isles,None,Kalista,Hecarim,None,None,202
86,CIBQIAQGBEIBUKYHAECACDA4E4WTINYBAICAGAQBAECCMAICAYXAA,Bilgewater,Piltover & Zaun,Twisted Fate,Fizz,None,None,201
87,CIBQGAIBAMLCEBIBAUPCQMBRGUBQEBIBAQDAEAICAEDQEAIFA4MQCAIBAUFQ,Freljord,Shadow Isles,Kalista,Elise,None,None,199
88,CIBAGAIDAQPSCBQBAEBQWFRGFEYAGAQBAMMDKAYBAECB4KQBAIAQEAIBAEBTG,Noxus,Freljord,Ashe,Sejuani,None,None,194
89,CICAEAIBAQQAEAQBAIDQKAIEBAMRWNB2AEBAICQCAEBACCQDAECCOMJVAIAQCAJKAEAQIGQ,Freljord,Piltover & Zaun,Sejuani,Teemo,None,None,193
90,CIBQCAQGCYDQCAABBEFRUHJHFMBAEAAGBEBAGAIACUUTGAQCAADQUAA,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,185
91,CIBAKAIFAEOSQNRXA4AQCDAUCULRQIJHAEAQCBIPAIAQCAJUAEAQKGI,Shadow Isles,Freljord,Anivia,Tryndamere,None,None,185
92,CIBQCAIDFYBQEAYHBAEQKAIEDMPSIKZUAMAQCAZLAEBAGAIEAECBUJZRHIAQCAIDCY,Noxus,Piltover & Zaun,Swain,Ezreal,None,None,183
93,CIBQEAIFAM2QQAIDAIEA6HRFEYUC6AYCAMBQIBIAAEAQCBIZ,Shadow Isles,Noxus,Elise,Darius,None,None,179
94,CICAIAICAIEA6OIBAIBAKBABAMPCILRPAIBAGBYJAIAQCAZWAEBAGAIDAEAQGEYBAEBDCAICAIDQ,Ionia,Noxus,Yasuo,Swain,None,None,177
95,CIBAGAQDAMDQSCICAYCAQCY2DQQS2MJ2AEAQEBQUAIAQCAYEAEBAGAI,Noxus,Bilgewater,Swain,Twisted Fate,None,None,174
96,CIBQKAIFAMKCQLZRAUAQIAI3D4SDIAICAQDAEAIBAQ5AEAIFAEVQCAIBAUHQ,Shadow Isles,Piltover & Zaun,Ezreal,None,None,None,172
97,CIBQCAICFEBQEAQDAUEQMAIEAENR6JBUHIBACAIEE4CACAQCAQYTQAA,Ionia,Piltover & Zaun,Karma,Ezreal,None,None,172
98,CICACAICB4BAEAQCAUBQCAZEFY3QGAQDAEDQSAYBAEBTMBABAIBCKLRYAEBAECIBAEAQEMI,Ionia,Noxus,Yasuo,Swain,None,None,170
99,CIBQEAIDAQXAIAQDAEDQQCIHAECBWHZEE4VTIOQAAEAQCBBR,Noxus,Piltover & Zaun,Swain,Ezreal,None,None,170
100,CIBQGAICFEXDKAQCAICQSBQBAUKB2KBLGQ3ACAYBAUAQ6LQBAEAQEMI,Ionia,Shadow Isles,Karma,Thresh,None,None,168
101,CIBQIAQGDIOSMPIHAEAQICIWDUQCSLQBAIAQOAICAEAQGCQA,Bilgewater,Freljord,Twisted Fate,Braum,None,None,167
102,CIBQEAIFAMHQSAIABEGBUHJBE4VS2MYBAIAASAACAMAQACQPCUAQEAAH,Shadow Isles,Demacia,Garen,Fiora,None,None,167
103,CICAGAIBBELC4AQCAEBAOBABAMPCALZQAIBAGAYEAIAQCAYYAIAQCBBSAEAQEAII,Freljord,Noxus,Braum,Sejuani,None,None,162
104,CIBQKAIEBAMRWNB2AUAQCBALCYQDEAQCAEBAUAIBAIAQKAQBAECB6AICAEEA,Piltover & Zaun,Freljord,Teemo,Sejuani,None,None,159
105,CIBQCAIBEIEACBILCAPCQKZQGE2QGAQFAECAMAICAECQOGIA,Freljord,Shadow Isles,Kalista,Elise,None,None,159
106,CIBAGAIEDMSDIBYCAYEAWGQ4EEWTUAQCAECB6LIDAIDASFBRAA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,158
107,CIBQCAQGCYDACAABBEFR2JZLAMBAABQJBIBAGAIADISTGAICAADQCAQBAAKSS,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,156
108,CIBQIAIADIUCSKQFAEAQQCIQDE2QEAQBAMDQEAIBAEZAEAIACUYQCAIBAAZA,Demacia,Freljord,Lux,Braum,None,None,154
109,CIBQEAQGBALAMAIAAEERMHJGFMBAEAAJBIBAGAIACUNCOAICAADQEAIBAASQCAQABA,Bilgewater,Demacia,Miss Fortune,Lucian,None,None,153
110,CIBAIAICBQUSWNYHAEAAGCI2DUQCKLICAEAQABYCAEBAEMIBAEBAAAI,Ionia,Demacia,Karma,Fiora,None,None,151
111,CIBQIAIFAEOSQMIFAEAQGCIUDAZACAQBA4AQIAIFAMHRIKYCAEAQCCYBAECTM,Shadow Isles,Freljord,Braum,Anivia,None,None,150
112,CIBAEAQGAURQOAIFBMNCAKJQGE5AEAQCAYARCAYBAUOSQNQBAMAQKDYZHE,Bilgewater,Shadow Isles,None,None,None,None,147
113,CIBAGAIEDMSDICICAYCAQCY2DQOSCLJ2AIAQCBA7AEBAMFAA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,145
114,CIBAGAIDCQTTOCIBAQAQYDI4E4UC2NBXAIAQCAYDAEAQIJQA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,143
115,CICAGAIDCQVS4AICAMEQMAIEAENR6JBRGQAQEBAGAIAQCAZXAIAQIJZ2AEAQCAYW,Noxus,Piltover & Zaun,Draven,Ezreal,None,None,143
116,CIBQEAQGBALAMAIAAEERKHJHFMBQEAAGBEFAEAIBAASQEAQAAIDQCAIBAAUQ,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,143
117,CIBACAIEEQFAEBQEBAEQWEQ2DQQS2MICAEBAMFACAECB6NABAEAQIGY,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,142
118,CIBAEAQFBAFAWAQGAELR2HRFE4WC6NJWHAAACAICAUBQ,Shadow Isles,Bilgewater,Maokai,Nautilus,None,None,141
119,CICAKAICAIEA6JJZAMAQGLRWG4AQEAQFAMBAGAIHBEBACAICGEAQCAZEAA,Ionia,Noxus,Yasuo,Swain,None,None,139
119,CICAKAICAIEA6JJZAMAQGLRWG4AQEAQFAMBAGAIHBEBACAICGEAQCAZEAA,Ionia,Noxus,Yasuo,Swain,None,None,139
120,CICAKAICAIEA6JJZAMAQGLRWG4AQEAQFAMBAGAIHBEBACAICGEAQCAZEAA,Ionia,Noxus,Yasuo,Swain,None,None,139
120,CICAKAICAIEA6JJZAMAQGLRWG4AQEAQFAMBAGAIHBEBACAICGEAQCAZEAA,Ionia,Noxus,Yasuo,Swain,None,None,139
121,CIBQCAIFAMEQCAYCBAHRIHRFEYUC6AYCAMBQIBIAAEAQCAZO,Shadow Isles,Noxus,Draven,Darius,None,None,137
122,CIBQCAICAMCACBIEC4VDCAQCAUAQIAQCAEBAEMIFAECQYFI6FAYAGAIBAIMAGAIFAMDRIAICAUEA,Ionia,Shadow Isles,Hecarim,Kalista,Maokai,None,136
123,CIBAEAQGAURQMAIFDIQCSMBRHIBAEAQGAEIQKAIFAEFR2KBWAEBACBIPDE,Bilgewater,Shadow Isles,None,None,None,None,134
124,CICAEAIDFY3QEAQDAMEQMAIFEQUCWMJVHAAQEBIBAIAQCAYEAIBAGAIHAEAQEBII,Noxus,Shadow Isles,Elise,Swain,Maokai,None,133
125,CIBAIAIEDMSC2NAIAIDAQCYUDIOCCLJ2AEBAEBQ5GEAA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,132
126,CIBAGAIFFAYTIBICAYCAQIBCFUBAGAIFCQOS4AYCAYJBYJQCAEBAMAQDAECQCDZW,Shadow Isles,Bilgewater,Thresh,Gangplank,None,None,131
127,CIBQGAIBAMLCEBIBAUPCQMBRGUBAEBIEAYBQCAQBA4BQCBILCYMQCAQFAEAA,Freljord,Shadow Isles,Kalista,Elise,None,None,130
128,CIBAQAIFBEHBAKBKFMYTIAICAUCAEAQBAIBDCBABAUBRIHJWAEAQCAQY,Shadow Isles,Ionia,Hecarim,Thresh,None,None,130
129,CIBQEAICBEMAIAIFC4UCUMIDAICQCBQJAIBACAQGGECACBIHCQKS6AIBAECQG,Ionia,Shadow Isles,Zed,Hecarim,None,None,129
